date,team1,team2,winner
4/21/2012,Chennai Super Kings,Rajasthan Royals,Chennai Super Kings
4/21/2012,Delhi Daredevils,Pune Warriors,Pune Warriors
4/22/2012,Mumbai Indians,Kings XI Punjab,Kings XI Punjab
4/22/2012,Deccan Chargers,Kolkata Knight Riders,Kolkata Knight Riders
4/23/2012,Rajasthan Royals,Royal Challengers Bangalore,Royal Challengers Bangalore
4/24/2012,Pune Warriors,Delhi Daredevils,Delhi Daredevils
4/25/2012,Kings XI Punjab,Mumbai Indians,Mumbai Indians
4/26/2012,Pune Warriors,Deccan Chargers,Deccan Chargers
4/27/2012,Delhi Daredevils,Mumbai Indians,Delhi Daredevils
4/28/2012,Chennai Super Kings,Kings XI Punjab,Kings XI Punjab
4/28/2012,Kolkata Knight Riders,Royal Challengers Bangalore,Kolkata Knight Riders
4/29/2012,Delhi Daredevils,Rajasthan Royals,Delhi Daredevils
4/29/2012,Mumbai Indians,Deccan Chargers,Mumbai Indians
4/30/2012,Chennai Super Kings,Kolkata Knight Riders,Kolkata Knight Riders
5/1/2012,Deccan Chargers,Pune Warriors,Deccan Chargers
5/1/2012,Rajasthan Royals,Delhi Daredevils,Delhi Daredevils
5/2/2012,Royal Challengers Bangalore,Kings XI Punjab,Kings XI Punjab
5/3/2012,Pune Warriors,Mumbai Indians,Mumbai Indians
5/4/2012,Chennai Super Kings,Deccan Chargers,Chennai Super Kings
5/5/2012,Kolkata Knight Riders,Pune Warriors,Kolkata Knight Riders
5/5/2012,Kings XI Punjab,Rajasthan Royals,Rajasthan Royals
5/6/2012,Mumbai Indians,Chennai Super Kings,Mumbai Indians
5/6/2012,Royal Challengers Bangalore,Deccan Chargers,Royal Challengers Bangalore
5/7/2012,Delhi Daredevils,Kolkata Knight Riders,Kolkata Knight Riders
5/8/2012,Pune Warriors,Rajasthan Royals,Rajasthan Royals
5/8/2012,Deccan Chargers,Kings XI Punjab,Kings XI Punjab
5/9/2012,Mumbai Indians,Royal Challengers Bangalore,Royal Challengers Bangalore
5/10/2012,Rajasthan Royals,Chennai Super Kings,Chennai Super Kings
5/11/2012,Pune Warriors,Royal Challengers Bangalore,Royal Challengers Bangalore
5/12/2012,Kolkata Knight Riders,Mumbai Indians,Mumbai Indians
5/12/2012,Chennai Super Kings,Delhi Daredevils,Chennai Super Kings
5/13/2012,Rajasthan Royals,Pune Warriors,Rajasthan Royals
5/13/2012,Kings XI Punjab,Deccan Chargers,Kings XI Punjab
5/14/2012,Royal Challengers Bangalore,Mumbai Indians,Mumbai Indians
5/14/2012,Kolkata Knight Riders,Chennai Super Kings,Chennai Super Kings
5/15/2012,Delhi Daredevils,Kings XI Punjab,Delhi Daredevils
5/16/2012,Mumbai Indians,Kolkata Knight Riders,Kolkata Knight Riders
5/17/2012,Kings XI Punjab,Chennai Super Kings,Kings XI Punjab
5/17/2012,Delhi Daredevils,Royal Challengers Bangalore,Royal Challengers Bangalore
5/18/2012,Deccan Chargers,Rajasthan Royals,Deccan Chargers
5/19/2012,Kings XI Punjab,Delhi Daredevils,Delhi Daredevils
5/19/2012,Pune Warriors,Kolkata Knight Riders,Kolkata Knight Riders
5/20/2012,Deccan Chargers,Royal Challengers Bangalore,Deccan Chargers
5/20/2012,Rajasthan Royals,Mumbai Indians,Mumbai Indians
5/22/2012,Delhi Daredevils,Kolkata Knight Riders,Kolkata Knight Riders
5/23/2012,Chennai Super Kings,Mumbai Indians,Chennai Super Kings
5/25/2012,Delhi Daredevils,Chennai Super Kings,Chennai Super Kings
5/27/2012,Kolkata Knight Riders,Chennai Super Kings,Kolkata Knight Riders
4/3/2013,Kolkata Knight Riders,Delhi Daredevils,Kolkata Knight Riders
4/4/2013,Royal Challengers Bangalore,Mumbai Indians,Royal Challengers Bangalore
4/5/2013,Sunrisers Hyderabad,Pune Warriors,Sunrisers Hyderabad
4/6/2013,Delhi Daredevils,Rajasthan Royals,Rajasthan Royals
4/6/2013,Chennai Super Kings,Mumbai Indians,Mumbai Indians
4/7/2013,Pune Warriors,Kings XI Punjab,Kings XI Punjab
4/7/2013,Sunrisers Hyderabad,Royal Challengers Bangalore,Sunrisers Hyderabad
4/8/2013,Rajasthan Royals,Kolkata Knight Riders,Rajasthan Royals
4/9/2013,Mumbai Indians,Delhi Daredevils,Mumbai Indians
4/10/2013,Kings XI Punjab,Chennai Super Kings,Chennai Super Kings
4/11/2013,Royal Challengers Bangalore,Kolkata Knight Riders,Royal Challengers Bangalore
4/11/2013,Pune Warriors,Rajasthan Royals,Pune Warriors
4/12/2013,Delhi Daredevils,Sunrisers Hyderabad,Sunrisers Hyderabad
4/13/2013,Mumbai Indians,Pune Warriors,Mumbai Indians
4/13/2013,Chennai Super Kings,Royal Challengers Bangalore,Chennai Super Kings
4/14/2013,Kolkata Knight Riders,Sunrisers Hyderabad,Kolkata Knight Riders
4/14/2013,Rajasthan Royals,Kings XI Punjab,Rajasthan Royals
4/15/2013,Chennai Super Kings,Pune Warriors,Pune Warriors
4/16/2013,Kings XI Punjab,Kolkata Knight Riders,Kings XI Punjab
4/16/2013,Royal Challengers Bangalore,Delhi Daredevils,Royal Challengers Bangalore
4/17/2013,Pune Warriors,Sunrisers Hyderabad,Sunrisers Hyderabad
4/17/2013,Rajasthan Royals,Mumbai Indians,Rajasthan Royals
4/18/2013,Delhi Daredevils,Chennai Super Kings,Chennai Super Kings
4/19/2013,Sunrisers Hyderabad,Kings XI Punjab,Sunrisers Hyderabad
4/20/2013,Kolkata Knight Riders,Chennai Super Kings,Chennai Super Kings
4/20/2013,Royal Challengers Bangalore,Rajasthan Royals,Royal Challengers Bangalore
4/21/2013,Delhi Daredevils,Mumbai Indians,Delhi Daredevils
4/21/2013,Kings XI Punjab,Pune Warriors,Kings XI Punjab
4/22/2013,Chennai Super Kings,Rajasthan Royals,Chennai Super Kings
4/23/2013,Royal Challengers Bangalore,Pune Warriors,Royal Challengers Bangalore
5/16/2013,Kings XI Punjab,Delhi Daredevils,Kings XI Punjab
4/24/2013,Kolkata Knight Riders,Mumbai Indians,Mumbai Indians
4/25/2013,Chennai Super Kings,Sunrisers Hyderabad,Chennai Super Kings
4/26/2013,Kolkata Knight Riders,Kings XI Punjab,Kolkata Knight Riders
4/27/2013,Rajasthan Royals,Sunrisers Hyderabad,Rajasthan Royals
4/27/2013,Mumbai Indians,Royal Challengers Bangalore,Mumbai Indians
4/28/2013,Chennai Super Kings,Kolkata Knight Riders,Chennai Super Kings
4/28/2013,Delhi Daredevils,Pune Warriors,Delhi Daredevils
4/29/2013,Rajasthan Royals,Royal Challengers Bangalore,Rajasthan Royals
4/29/2013,Mumbai Indians,Kings XI Punjab,Mumbai Indians
4/30/2013,Pune Warriors,Chennai Super Kings,Chennai Super Kings
5/1/2013,Sunrisers Hyderabad,Mumbai Indians,Sunrisers Hyderabad
5/1/2013,Delhi Daredevils,Kolkata Knight Riders,Delhi Daredevils
5/2/2013,Chennai Super Kings,Kings XI Punjab,Chennai Super Kings
5/2/2013,Pune Warriors,Royal Challengers Bangalore,Royal Challengers Bangalore
5/3/2013,Kolkata Knight Riders,Rajasthan Royals,Kolkata Knight Riders
5/4/2013,Sunrisers Hyderabad,Delhi Daredevils,Sunrisers Hyderabad
5/14/2013,Royal Challengers Bangalore,Kings XI Punjab,Kings XI Punjab
5/5/2013,Mumbai Indians,Chennai Super Kings,Mumbai Indians
5/5/2013,Rajasthan Royals,Pune Warriors,Rajasthan Royals
4/9/2013,Royal Challengers Bangalore,Sunrisers Hyderabad,Royal Challengers Bangalore
5/7/2013,Rajasthan Royals,Delhi Daredevils,Rajasthan Royals
5/7/2013,Mumbai Indians,Kolkata Knight Riders,Mumbai Indians
5/8/2013,Sunrisers Hyderabad,Chennai Super Kings,Chennai Super Kings
5/9/2013,Kings XI Punjab,Rajasthan Royals,Rajasthan Royals
5/9/2013,Pune Warriors,Kolkata Knight Riders,Kolkata Knight Riders
5/10/2013,Delhi Daredevils,Royal Challengers Bangalore,Royal Challengers Bangalore
5/11/2013,Pune Warriors,Mumbai Indians,Mumbai Indians
5/11/2013,Kings XI Punjab,Sunrisers Hyderabad,Sunrisers Hyderabad
5/12/2013,Kolkata Knight Riders,Royal Challengers Bangalore,Kolkata Knight Riders
5/12/2013,Rajasthan Royals,Chennai Super Kings,Rajasthan Royals
4/23/2013,Delhi Daredevils,Kings XI Punjab,Kings XI Punjab
5/13/2013,Mumbai Indians,Sunrisers Hyderabad,Mumbai Indians
5/15/2013,Kolkata Knight Riders,Pune Warriors,Pune Warriors
5/14/2013,Chennai Super Kings,Delhi Daredevils,Chennai Super Kings
5/15/2013,Mumbai Indians,Rajasthan Royals,Mumbai Indians
5/6/2013,Kings XI Punjab,Royal Challengers Bangalore,Kings XI Punjab
5/17/2013,Sunrisers Hyderabad,Rajasthan Royals,Sunrisers Hyderabad
5/18/2013,Kings XI Punjab,Mumbai Indians,Kings XI Punjab
5/19/2013,Pune Warriors,Delhi Daredevils,Pune Warriors
5/18/2013,Royal Challengers Bangalore,Chennai Super Kings,Royal Challengers Bangalore
5/19/2013,Sunrisers Hyderabad,Kolkata Knight Riders,Sunrisers Hyderabad
5/21/2013,Chennai Super Kings,Mumbai Indians,Chennai Super Kings
5/22/2013,Rajasthan Royals,Sunrisers Hyderabad,Rajasthan Royals
5/24/2013,Mumbai Indians,Rajasthan Royals,Mumbai Indians
5/26/2013,Chennai Super Kings,Mumbai Indians,Mumbai Indians
4/16/2014,Mumbai Indians,Kolkata Knight Riders,Kolkata Knight Riders
4/17/2014,Delhi Daredevils,Royal Challengers Bangalore,Royal Challengers Bangalore
4/18/2014,Chennai Super Kings,Kings XI Punjab,Kings XI Punjab
4/18/2014,Sunrisers Hyderabad,Rajasthan Royals,Rajasthan Royals
4/19/2014,Royal Challengers Bangalore,Mumbai Indians,Royal Challengers Bangalore
4/19/2014,Kolkata Knight Riders,Delhi Daredevils,Delhi Daredevils
4/20/2014,Rajasthan Royals,Kings XI Punjab,Kings XI Punjab
4/21/2014,Chennai Super Kings,Delhi Daredevils,Chennai Super Kings
4/22/2014,Kings XI Punjab,Sunrisers Hyderabad,Kings XI Punjab
4/23/2014,Rajasthan Royals,Chennai Super Kings,Chennai Super Kings
4/24/2014,Royal Challengers Bangalore,Kolkata Knight Riders,Kolkata Knight Riders
4/25/2014,Sunrisers Hyderabad,Delhi Daredevils,Sunrisers Hyderabad
4/25/2014,Chennai Super Kings,Mumbai Indians,Chennai Super Kings
4/26/2014,Rajasthan Royals,Royal Challengers Bangalore,Rajasthan Royals
4/26/2014,Kolkata Knight Riders,Kings XI Punjab,Kings XI Punjab
4/27/2014,Delhi Daredevils,Mumbai Indians,Delhi Daredevils
4/27/2014,Sunrisers Hyderabad,Chennai Super Kings,Chennai Super Kings
4/28/2014,Kings XI Punjab,Royal Challengers Bangalore,Kings XI Punjab
4/29/2014,Kolkata Knight Riders,Rajasthan Royals,Rajasthan Royals
4/30/2014,Mumbai Indians,Sunrisers Hyderabad,Sunrisers Hyderabad
5/2/2014,Chennai Super Kings,Kolkata Knight Riders,Chennai Super Kings
5/3/2014,Mumbai Indians,Kings XI Punjab,Mumbai Indians
5/3/2014,Delhi Daredevils,Rajasthan Royals,Rajasthan Royals
5/4/2014,Royal Challengers Bangalore,Sunrisers Hyderabad,Royal Challengers Bangalore
5/5/2014,Rajasthan Royals,Kolkata Knight Riders,Rajasthan Royals
5/5/2014,Delhi Daredevils,Chennai Super Kings,Chennai Super Kings
5/6/2014,Mumbai Indians,Royal Challengers Bangalore,Mumbai Indians
5/7/2014,Delhi Daredevils,Kolkata Knight Riders,Kolkata Knight Riders
5/7/2014,Kings XI Punjab,Chennai Super Kings,Kings XI Punjab
5/8/2014,Rajasthan Royals,Sunrisers Hyderabad,Sunrisers Hyderabad
5/9/2014,Royal Challengers Bangalore,Kings XI Punjab,Kings XI Punjab
5/10/2014,Delhi Daredevils,Sunrisers Hyderabad,Sunrisers Hyderabad
5/10/2014,Mumbai Indians,Chennai Super Kings,Chennai Super Kings
5/11/2014,Kings XI Punjab,Kolkata Knight Riders,Kolkata Knight Riders
5/11/2014,Royal Challengers Bangalore,Rajasthan Royals,Rajasthan Royals
5/12/2014,Sunrisers Hyderabad,Mumbai Indians,Mumbai Indians
5/13/2014,Chennai Super Kings,Rajasthan Royals,Chennai Super Kings
5/13/2014,Royal Challengers Bangalore,Delhi Daredevils,Royal Challengers Bangalore
5/14/2014,Sunrisers Hyderabad,Kings XI Punjab,Kings XI Punjab
5/14/2014,Kolkata Knight Riders,Mumbai Indians,Kolkata Knight Riders
5/15/2014,Rajasthan Royals,Delhi Daredevils,Rajasthan Royals
5/18/2014,Chennai Super Kings,Royal Challengers Bangalore,Royal Challengers Bangalore
5/18/2014,Sunrisers Hyderabad,Kolkata Knight Riders,Kolkata Knight Riders
5/19/2014,Rajasthan Royals,Mumbai Indians,Mumbai Indians
5/19/2014,Delhi Daredevils,Kings XI Punjab,Kings XI Punjab
5/20/2014,Sunrisers Hyderabad,Royal Challengers Bangalore,Sunrisers Hyderabad
5/20/2014,Kolkata Knight Riders,Chennai Super Kings,Kolkata Knight Riders
5/21/2014,Kings XI Punjab,Mumbai Indians,Mumbai Indians
5/22/2014,Kolkata Knight Riders,Royal Challengers Bangalore,Kolkata Knight Riders
5/22/2014,Chennai Super Kings,Sunrisers Hyderabad,Sunrisers Hyderabad
5/23/2014,Mumbai Indians,Delhi Daredevils,Mumbai Indians
5/23/2014,Kings XI Punjab,Rajasthan Royals,Kings XI Punjab
5/24/2014,Royal Challengers Bangalore,Chennai Super Kings,Chennai Super Kings
5/24/2014,Kolkata Knight Riders,Sunrisers Hyderabad,Kolkata Knight Riders
5/25/2014,Kings XI Punjab,Delhi Daredevils,Kings XI Punjab
5/25/2014,Mumbai Indians,Rajasthan Royals,Mumbai Indians
5/27/2014,Kings XI Punjab,Kolkata Knight Riders,Kolkata Knight Riders
5/28/2014,Chennai Super Kings,Mumbai Indians,Chennai Super Kings
5/30/2014,Chennai Super Kings,Kings XI Punjab,Kings XI Punjab
6/1/2014,Kolkata Knight Riders,Kings XI Punjab,Kolkata Knight Riders
4/8/2015,Kolkata Knight Riders,Mumbai Indians,Kolkata Knight Riders
4/9/2015,Chennai Super Kings,Delhi Daredevils,Chennai Super Kings
4/10/2015,Kings XI Punjab,Rajasthan Royals,Rajasthan Royals
4/11/2015,Chennai Super Kings,Sunrisers Hyderabad,Chennai Super Kings
4/11/2015,Kolkata Knight Riders,Royal Challengers Bangalore,Royal Challengers Bangalore
4/12/2015,Delhi Daredevils,Rajasthan Royals,Rajasthan Royals
4/12/2015,Mumbai Indians,Kings XI Punjab,Kings XI Punjab
4/13/2015,Royal Challengers Bangalore,Sunrisers Hyderabad,Sunrisers Hyderabad
4/14/2015,Rajasthan Royals,Mumbai Indians,Rajasthan Royals
4/30/2015,Kolkata Knight Riders,Chennai Super Kings,Kolkata Knight Riders
4/15/2015,Kings XI Punjab,Delhi Daredevils,Delhi Daredevils
4/16/2015,Sunrisers Hyderabad,Rajasthan Royals,Rajasthan Royals
4/17/2015,Mumbai Indians,Chennai Super Kings,Chennai Super Kings
4/18/2015,Sunrisers Hyderabad,Delhi Daredevils,Delhi Daredevils
4/18/2015,Kings XI Punjab,Kolkata Knight Riders,Kolkata Knight Riders
4/19/2015,Rajasthan Royals,Chennai Super Kings,Rajasthan Royals
4/19/2015,Royal Challengers Bangalore,Mumbai Indians,Mumbai Indians
4/20/2015,Delhi Daredevils,Kolkata Knight Riders,Kolkata Knight Riders
4/21/2015,Rajasthan Royals,Kings XI Punjab,Kings XI Punjab
4/22/2015,Sunrisers Hyderabad,Kolkata Knight Riders,Sunrisers Hyderabad
4/22/2015,Royal Challengers Bangalore,Chennai Super Kings,Chennai Super Kings
4/23/2015,Delhi Daredevils,Mumbai Indians,Delhi Daredevils
4/24/2015,Rajasthan Royals,Royal Challengers Bangalore,Royal Challengers Bangalore
4/25/2015,Mumbai Indians,Sunrisers Hyderabad,Mumbai Indians
4/25/2015,Chennai Super Kings,Kings XI Punjab,Chennai Super Kings
4/26/2015,Delhi Daredevils,Royal Challengers Bangalore,Royal Challengers Bangalore
4/27/2015,Kings XI Punjab,Sunrisers Hyderabad,Sunrisers Hyderabad
5/7/2015,Kolkata Knight Riders,Delhi Daredevils,Kolkata Knight Riders
4/29/2015,Royal Challengers Bangalore,Rajasthan Royals,Royal Challengers Bangalore
4/28/2015,Chennai Super Kings,Kolkata Knight Riders,Chennai Super Kings
5/1/2015,Delhi Daredevils,Kings XI Punjab,Delhi Daredevils
5/1/2015,Mumbai Indians,Rajasthan Royals,Mumbai Indians
5/2/2015,Royal Challengers Bangalore,Kolkata Knight Riders,Royal Challengers Bangalore
5/2/2015,Sunrisers Hyderabad,Chennai Super Kings,Sunrisers Hyderabad
5/3/2015,Kings XI Punjab,Mumbai Indians,Mumbai Indians
5/3/2015,Rajasthan Royals,Delhi Daredevils,Rajasthan Royals
5/4/2015,Chennai Super Kings,Royal Challengers Bangalore,Chennai Super Kings
5/4/2015,Kolkata Knight Riders,Sunrisers Hyderabad,Kolkata Knight Riders
5/5/2015,Mumbai Indians,Delhi Daredevils,Mumbai Indians
5/6/2015,Royal Challengers Bangalore,Kings XI Punjab,Royal Challengers Bangalore
5/7/2015,Rajasthan Royals,Sunrisers Hyderabad,Sunrisers Hyderabad
5/8/2015,Chennai Super Kings,Mumbai Indians,Mumbai Indians
5/9/2015,Kolkata Knight Riders,Kings XI Punjab,Kolkata Knight Riders
5/9/2015,Delhi Daredevils,Sunrisers Hyderabad,Sunrisers Hyderabad
5/10/2015,Mumbai Indians,Royal Challengers Bangalore,Royal Challengers Bangalore
5/10/2015,Chennai Super Kings,Rajasthan Royals,Chennai Super Kings
5/11/2015,Sunrisers Hyderabad,Kings XI Punjab,Sunrisers Hyderabad
5/12/2015,Delhi Daredevils,Chennai Super Kings,Delhi Daredevils
5/13/2015,Kings XI Punjab,Royal Challengers Bangalore,Kings XI Punjab
5/14/2015,Mumbai Indians,Kolkata Knight Riders,Mumbai Indians
5/15/2015,Sunrisers Hyderabad,Royal Challengers Bangalore,Royal Challengers Bangalore
5/16/2015,Kings XI Punjab,Chennai Super Kings,Chennai Super Kings
5/16/2015,Rajasthan Royals,Kolkata Knight Riders,Rajasthan Royals
5/17/2015,Royal Challengers Bangalore,Delhi Daredevils,Royal Challengers Bangalore
5/17/2015,Sunrisers Hyderabad,Mumbai Indians,Mumbai Indians
5/19/2015,Chennai Super Kings,Mumbai Indians,Mumbai Indians
5/20/2015,Royal Challengers Bangalore,Rajasthan Royals,Royal Challengers Bangalore
5/22/2015,Chennai Super Kings,Royal Challengers Bangalore,Chennai Super Kings
5/24/2015,Mumbai Indians,Chennai Super Kings,Mumbai Indians
4/9/2016,Mumbai Indians,Rising Pune Supergiant,Rising Pune Supergiant
4/10/2016,Kolkata Knight Riders,Delhi Daredevils,Kolkata Knight Riders
4/11/2016,Kings XI Punjab,Gujarat Lions,Gujarat Lions
4/12/2016,Royal Challengers Bangalore,Sunrisers Hyderabad,Royal Challengers Bangalore
4/13/2016,Kolkata Knight Riders,Mumbai Indians,Mumbai Indians
4/14/2016,Gujarat Lions,Rising Pune Supergiant,Gujarat Lions
4/15/2016,Delhi Daredevils,Kings XI Punjab,Delhi Daredevils
4/16/2016,Sunrisers Hyderabad,Kolkata Knight Riders,Kolkata Knight Riders
4/16/2016,Mumbai Indians,Gujarat Lions,Gujarat Lions
4/17/2016,Kings XI Punjab,Rising Pune Supergiant,Kings XI Punjab
4/17/2016,Royal Challengers Bangalore,Delhi Daredevils,Delhi Daredevils
4/18/2016,Sunrisers Hyderabad,Mumbai Indians,Sunrisers Hyderabad
4/19/2016,Kings XI Punjab,Kolkata Knight Riders,Kolkata Knight Riders
4/20/2016,Mumbai Indians,Royal Challengers Bangalore,Mumbai Indians
4/21/2016,Gujarat Lions,Sunrisers Hyderabad,Sunrisers Hyderabad
4/22/2016,Rising Pune Supergiant,Royal Challengers Bangalore,Royal Challengers Bangalore
4/23/2016,Delhi Daredevils,Mumbai Indians,Delhi Daredevils
4/23/2016,Sunrisers Hyderabad,Kings XI Punjab,Sunrisers Hyderabad
4/24/2016,Gujarat Lions,Royal Challengers Bangalore,Gujarat Lions
4/24/2016,Rising Pune Supergiant,Kolkata Knight Riders,Kolkata Knight Riders
4/25/2016,Kings XI Punjab,Mumbai Indians,Mumbai Indians
4/26/2016,Sunrisers Hyderabad,Rising Pune Supergiant,Rising Pune Supergiant
4/27/2016,Delhi Daredevils,Gujarat Lions,Gujarat Lions
4/28/2016,Mumbai Indians,Kolkata Knight Riders,Mumbai Indians
4/29/2016,Rising Pune Supergiant,Gujarat Lions,Gujarat Lions
4/30/2016,Delhi Daredevils,Kolkata Knight Riders,Delhi Daredevils
4/30/2016,Sunrisers Hyderabad,Royal Challengers Bangalore,Sunrisers Hyderabad
5/1/2016,Gujarat Lions,Kings XI Punjab,Kings XI Punjab
5/1/2016,Rising Pune Supergiant,Mumbai Indians,Mumbai Indians
